Item ID,Color ID,Size ID,Item Name,Color Name,Size Name,SKU Description,Department,Class,Wholesale Price,Retail Price,Retail Markup $,Retail Markup %,On Hand #
01111C,621,080,"CUSTOM DELUXE NAVY 2"" TSD BELT",Navy,8,Navy 8,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
01112,010,020,"Heavy Core Deluxe 2"" Black Belt",Black,2,Black 2,Belts,Black Belts,$17.99,$34.99,$17.00,94.5%,53
01112,010,030,"Heavy Core Deluxe 2"" Black Belt",Black,3,Black 3,Belts,Black Belts,$17.99,$34.99,$17.00,94.5%,40
01112,010,040,"Heavy Core Deluxe 2"" Black Belt",Black,4,Black 4,Belts,Black Belts,$17.99,$34.99,$17.00,94.5%,105
01112,010,050,"Heavy Core Deluxe 2"" Black Belt",Black,5,Black 5,Belts,Black Belts,$17.99,$34.99,$17.00,94.5%,131
01112,010,060,"Heavy Core Deluxe 2"" Black Belt",Black,6,Black 6,Belts,Black Belts,$17.99,$34.99,$17.00,94.5%,66
01112,010,070,"Heavy Core Deluxe 2"" Black Belt",Black,7,Black 7,Belts,Black Belts,$17.99,$34.99,$17.00,94.5%,54
01112,010,080,"Heavy Core Deluxe 2"" Black Belt",Black,8,Black 8,Belts,Black Belts,$17.99,$34.99,$17.00,94.5%,15
01112C,010,020,"CUSTOM CENTURY DELUX BLACK BELT 2"" HEAVY",Black,2,Black 2,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
01112C,010,030,"CUSTOM CENTURY DELUX BLACK BELT 2"" HEAVY",Black,3,Black 3,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
01112C,010,040,"CUSTOM CENTURY DELUX BLACK BELT 2"" HEAVY",Black,4,Black 4,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
01112C,010,050,"CUSTOM CENTURY DELUX BLACK BELT 2"" HEAVY",Black,5,Black 5,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
01112C,010,060,"CUSTOM CENTURY DELUX BLACK BELT 2"" HEAVY",Black,6,Black 6,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
01112C,010,070,"CUSTOM CENTURY DELUX BLACK BELT 2"" HEAVY",Black,7,Black 7,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
01112C,010,080,"CUSTOM CENTURY DELUX BLACK BELT 2"" HEAVY",Black,8,Black 8,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
01113,010,020,"2"" Standard Deluxe Black Belt",Black,2,Black 2,Belts,Black Belts,$10.49,$19.99,$9.50,90.6%,199
01113,010,030,"2"" Standard Deluxe Black Belt",Black,3,Black 3,Belts,Black Belts,$10.49,$19.99,$9.50,90.6%,733
01113,010,040,"2"" Standard Deluxe Black Belt",Black,4,Black 4,Belts,Black Belts,$10.49,$19.99,$9.50,90.6%,818
01113,010,050,"2"" Standard Deluxe Black Belt",Black,5,Black 5,Belts,Black Belts,$10.49,$19.99,$9.50,90.6%,718
01113,010,060,"2"" Standard Deluxe Black Belt",Black,6,Black 6,Belts,Black Belts,$10.49,$19.99,$9.50,90.6%,619
